2167,2183,2222,2228,2230,2231
2222,2228,2230,2235,2240,2242
2539,2584,2603,2611,2617,2624
2572,2584,2603,2611,2617,2624
2603,2619,2622,2624,2627,2627
2761,2764,2765,2772,2778,2780
2765,2772,2778,2780,2786,2786
2778,2811,2814,2816,2822,2823
3714,4044,4047,4051,4053,4054
4081,4082,4109,4114,4117,4119
4299,4303,4308,4320,4324,4328
5232,5287,5291,5293,5296,5297
5291,5319,5322,5325,5327,5329
5472,5488,5489,5497,5500,5502
5489,5497,5517,5521,5522,5525
5639,5642,5650,5660,5667,5673
5650,5673,5683,5689,5692,5694
6003,6169,6181,6184,6189,6190
6357,6443,6453,6458,6469,6472
6966,6984,6987,6991,6993,6994
8010,8018,8021,8023,8026,8027
8709,8722,8724,8733,8736,8737
9302,9471,9476,9480,9488,9490
9476,9480,9488,9490,9496,9497
11867,11879,11892,11900,11903,11905
11916,11925,11935,11939,11941,11941
11935,11970,11973,11982,11988,11989
12426,12432,12450,12453,12454,12454
12450,12477,12483,12489,12490,12491
13128,13154,13155,13164,13169,13172
15844,15849,15852,15861,15864,15870
